Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Especialização;Ambiente e Saúde;Saúde;Gestão de Unidades de Alimentação e Nutrição;Noite;32;40;0,80;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Professor Urias Ferreira;090;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;148;70;2,11;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas;Manhã;52;40;1,30;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Técnico;Produção Industrial;Química;Açúcar e Álcool;Noite;49;40;1,22;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;57;40;1,42;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;64;40;1,60;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;69;40;1,72;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;75;40;1,87;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec;Manhã;78;40;1,95;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Linguagens, Ciência Humanas e Sociais;Manhã;115;40;2,87;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Gestão e Negócios;Gestão;Administração;Noite;118;40;2,95;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Tarde;92;40;2,29;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Produção Industrial;Química;Química;Noite;87;40;2,17;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Integrado;Gestão e Negócios;Gestão;Contabilidade - MTec;Tarde;77;40;1,92;
